mot,definition_fr,traduction_en,exemple_fr,niveau,theme
ameliorer,"Rendre meilleur, progresser.",to improve,Je veux ameliorer mon expression ecrite.,B1,Etudes
objectif,But a atteindre.,goal,Mon objectif est d'obtenir le niveau B2.,A2,Etudes
defi,Difficulte a surmonter.,challenge,Le TCF est un defi exigeant.,A2,Examens
rigoureux,Tres precis et serieux.,rigorous,Il faut etre rigoureux en grammaire.,B1,Etudes
coherent,Logique et bien organise.,coherent,Ton argumentation est coherente.,B1,Expression
nuancer,Exprimer une idee avec precision.,to nuance,Il faut nuancer son opinion.,B2,Expression
pertinent,Adapte au sujet.,relevant,Ton exemple est pertinent.,B2,Expression
enjeu,Ce qui est important dans une situation.,issue,L'enjeu principal est la clarte du texte.,B2,Examens
consigne,Instruction precise a suivre.,instruction,Lis bien la consigne avant d'ecrire.,A2,Examens
barreme,Systeme de notation.,grading scale,Le bareme du TCF est detaille.,B1,Examens
synthese,Resume clair des idees essentielles.,summary,La synthese finale doit etre concise.,B2,Expression
argument,Raison pour soutenir une opinion.,argument,Chaque paragraphe doit contenir un argument.,A2,Expression
justifier,Expliquer avec des raisons.,to justify,Tu dois justifier ta position.,B1,Expression
avantage,Point positif.,advantage,L'apprentissage en ligne offre plusieurs avantages.,A2,Societe
inconvenient,Point negatif.,drawback,Le principal inconvenient est l'isolement.,A2,Societe
disponible,Que l'on peut utiliser ou consulter.,available,Les ressources sont disponibles en ligne.,A2,Technologie
acceder,Pouvoir entrer ou utiliser.,to access,Je peux acceder aux cours sur mon telephone.,B1,Technologie
plateforme,Service numerique pour apprendre.,platform,Cette plateforme propose des exercices adaptes.,A2,Technologie
interactif,Qui implique une participation active.,interactive,Le cours interactif motive les etudiants.,B1,Technologie
autonome,Capable de travailler seul.,independent,Je suis plus autonome dans mon apprentissage.,B1,Etudes
motivation,Energie interieure pour agir.,motivation,La motivation est essentielle pour progresser.,A2,Etudes
constance,Regularite dans l'effort.,consistency,La constance apporte de meilleurs resultats.,B2,Etudes
progres,Amelioration au fil du temps.,progress,Je vois des progres chaque semaine.,A2,Etudes
