infinitif,temps,personne,forme,exemple_fr,niveau
etre,present,je,suis,je suis ce verbe (etre) au present.,A1
etre,present,tu,es,tu es ce verbe (etre) au present.,A1
etre,present,il/elle,est,il/elle est ce verbe (etre) au present.,A1
etre,present,nous,sommes,nous sommes ce verbe (etre) au present.,A1
etre,present,vous,etes,vous etes ce verbe (etre) au present.,A1
etre,present,ils/elles,sont,ils/elles sont ce verbe (etre) au present.,A1
etre,imparfait,je,etais,je etais ce verbe (etre) au imparfait.,A2
etre,imparfait,tu,etais,tu etais ce verbe (etre) au imparfait.,A2
etre,imparfait,il/elle,etait,il/elle etait ce verbe (etre) au imparfait.,A2
etre,imparfait,nous,etions,nous etions ce verbe (etre) au imparfait.,A2
etre,imparfait,vous,etiez,vous etiez ce verbe (etre) au imparfait.,A2
etre,imparfait,ils/elles,etaient,ils/elles etaient ce verbe (etre) au imparfait.,A2
etre,futur simple,je,serai,je serai ce verbe (etre) au futur simple.,A2
etre,futur simple,tu,seras,tu seras ce verbe (etre) au futur simple.,A2
etre,futur simple,il/elle,sera,il/elle sera ce verbe (etre) au futur simple.,A2
etre,futur simple,nous,serons,nous serons ce verbe (etre) au futur simple.,A2
etre,futur simple,vous,serez,vous serez ce verbe (etre) au futur simple.,A2
etre,futur simple,ils/elles,seront,ils/elles seront ce verbe (etre) au futur simple.,A2
etre,conditionnel present,je,serais,je serais ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,tu,serais,tu serais ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,il/elle,serait,il/elle serait ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,nous,serions,nous serions ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,vous,seriez,vous seriez ce verbe (etre) au conditionnel present.,B1
etre,conditionnel present,ils/elles,seraient,ils/elles seraient ce verbe (etre) au conditionnel present.,B1
avoir,present,je,ai,je ai ce verbe (avoir) au present.,A1
avoir,present,tu,as,tu as ce verbe (avoir) au present.,A1
avoir,present,il/elle,a,il/elle a ce verbe (avoir) au present.,A1
avoir,present,nous,avons,nous avons ce verbe (avoir) au present.,A1
avoir,present,vous,avez,vous avez ce verbe (avoir) au present.,A1
avoir,present,ils/elles,ont,ils/elles ont ce verbe (avoir) au present.,A1
avoir,imparfait,je,avais,je avais ce verbe (avoir) au imparfait.,A2
avoir,imparfait,tu,avais,tu avais ce verbe (avoir) au imparfait.,A2
avoir,imparfait,il/elle,avait,il/elle avait ce verbe (avoir) au imparfait.,A2
avoir,imparfait,nous,avions,nous avions ce verbe (avoir) au imparfait.,A2
avoir,imparfait,vous,aviez,vous aviez ce verbe (avoir) au imparfait.,A2
avoir,imparfait,ils/elles,avaient,ils/elles avaient ce verbe (avoir) au imparfait.,A2
avoir,futur simple,je,aurai,je aurai ce verbe (avoir) au futur simple.,A2
avoir,futur simple,tu,auras,tu auras ce verbe (avoir) au futur simple.,A2
avoir,futur simple,il/elle,aura,il/elle aura ce verbe (avoir) au futur simple.,A2
avoir,futur simple,nous,aurons,nous aurons ce verbe (avoir) au futur simple.,A2
avoir,futur simple,vous,aurez,vous aurez ce verbe (avoir) au futur simple.,A2
avoir,futur simple,ils/elles,auront,ils/elles auront ce verbe (avoir) au futur simple.,A2
avoir,conditionnel present,je,aurais,je aurais ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,tu,aurais,tu aurais ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,il/elle,aurait,il/elle aurait ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,nous,aurions,nous aurions ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,vous,auriez,vous auriez ce verbe (avoir) au conditionnel present.,B1
avoir,conditionnel present,ils/elles,auraient,ils/elles auraient ce verbe (avoir) au conditionnel present.,B1
aller,present,je,vais,je vais ce verbe (aller) au present.,A1
aller,present,tu,vas,tu vas ce verbe (aller) au present.,A1
aller,present,il/elle,va,il/elle va ce verbe (aller) au present.,A1
aller,present,nous,allons,nous allons ce verbe (aller) au present.,A1
aller,present,vous,allez,vous allez ce verbe (aller) au present.,A1
aller,present,ils/elles,vont,ils/elles vont ce verbe (aller) au present.,A1
aller,imparfait,je,allais,je allais ce verbe (aller) au imparfait.,A2
aller,imparfait,tu,allais,tu allais ce verbe (aller) au imparfait.,A2
aller,imparfait,il/elle,allait,il/elle allait ce verbe (aller) au imparfait.,A2
aller,imparfait,nous,allions,nous allions ce verbe (aller) au imparfait.,A2
aller,imparfait,vous,alliez,vous alliez ce verbe (aller) au imparfait.,A2
aller,imparfait,ils/elles,allaient,ils/elles allaient ce verbe (aller) au imparfait.,A2
aller,futur simple,je,irai,je irai ce verbe (aller) au futur simple.,A2
aller,futur simple,tu,iras,tu iras ce verbe (aller) au futur simple.,A2
aller,futur simple,il/elle,ira,il/elle ira ce verbe (aller) au futur simple.,A2
aller,futur simple,nous,irons,nous irons ce verbe (aller) au futur simple.,A2
aller,futur simple,vous,irez,vous irez ce verbe (aller) au futur simple.,A2
aller,futur simple,ils/elles,iront,ils/elles iront ce verbe (aller) au futur simple.,A2
aller,conditionnel present,je,irais,je irais ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,tu,irais,tu irais ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,il/elle,irait,il/elle irait ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,nous,irions,nous irions ce verbe (aller) au conditionnel present.,B1
aller,conditionnel present,vous,iriez,vous iriez ce verbe (aller) au conditionnel present.,B1
